Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
American Pale Ale,10,20.0,1.055,1.014,5.46,35.01,8.06,25.0,60,,75.0,,0,0,,,FORCED CARB,,Pale Ale
Belgian Golden Strong Ale,23,19.0,1.09,1.022,8.97,31.75,5.64,24.0,90,1.071,70.0,2.43,0,0,1.0,21.0,Inverted sugar,10g/L,Belgian
Oatmeal Stout,114,20.82,1.072,1.01,8.11,49.59,40.0,11.36,60,,70.0,,0,1,,,Forced Carbonation,3 weeks (min.) at 8 psig,Porter & Stout
Irish Red Ale,92,18.93,1.046,1.011,4.5,0.0,16.76,24.61,75,,75.0,1.42,0,0,,,,,Amber Ale
Old Ale,116,20.0,1.074,1.018,7.35,46.73,24.51,23.0,60,1.064,68.0,,0,3,,19.0,Sukkerlake,5 g sukker/l,Strong Ale
American IPA,7,18.93,1.056,1.013,5.57,43.02,10.33,11.36,60,,75.0,,0,1,,,,,IPA
American IPA,7,20.82,1.066,1.015,6.7,76.06,7.32,27.94,60,1.049,72.0,1.3,0,0,0.75,18.89,,,IPA
American Pale Ale,10,18.93,1.052,1.01,5.55,45.2,8.14,21.77,60,1.046,67.0,1.5,0,0,0.5,18.33,,,Pale Ale
American Wheat or Rye Beer,15,18.93,1.06,1.014,5.97,28.02,3.76,18.93,60,,70.0,,0,0,,,,,Wheat Beer
Holiday/Winter Special Spiced Beer,85,45.42,1.066,1.017,6.42,16.31,20.3,53.0,75,1.048,75.0,,0,0,,,,,Spiced/Seasonal
American IPA,7,20.82,1.059,1.015,5.82,73.67,7.22,13.25,60,1.093,70.0,,0,2,0.75,21.11,Corn Sugar,,IPA
Double IPA,56,21.0,1.066,1.017,6.42,63.89,6.22,25.0,70,1.05,72.0,,0,3,1.0,18.0,,,IPA
American IPA,7,3.79,1.057,1.016,5.38,46.29,7.1,4.73,60,,70.0,,0,0,,,honey,3 tablespoons,IPA
Oatmeal Stout,114,18.93,1.116,1.029,11.44,113.19,40.0,15.52,60,,70.0,,0,2,,,,,Porter & Stout
American Pale Ale,10,10.6,1.054,1.013,5.32,51.73,4.65,14.38,60,1.04,70.0,1.5,0,0,0.75,17.78,,,Pale Ale
American IPA,7,19.87,1.061,1.008,6.92,48.4,10.53,28.39,90,,60.0,,0,0,1.0,20.0,,,IPA
American Wheat or Rye Beer,15,18.93,1.045,1.012,4.21,20.55,3.73,24.61,60,,70.0,,0,1,,,corn sugar,4 oz,Wheat Beer
American IPA,7,45.42,1.067,1.017,6.64,113.49,31.85,64.35,90,,70.0,,0,0,,,,,IPA
American IPA,7,20.82,1.061,1.011,6.58,37.83,9.38,28.39,60,1.045,75.0,1.5,0,0,1.0,15.56,,,IPA
Extra Special/Strong Bitter (ESB),68,10.0,1.057,1.014,5.75,34.85,9.74,12.0,70,1.048,80.0,,0,0,0.75,19.0,Dextrose,,Bitter
Winter Seasonal Beer,174,22.71,1.072,1.017,7.31,28.98,11.0,30.7,60,1.053,70.0,,0,3,0.35,21.11,,,Spiced/Seasonal
American IPA,7,20.82,1.067,1.014,7.0,50.85,5.6,28.39,60,1.049,75.0,,0,0,,,,,IPA
American Pale Ale,10,37.85,1.049,1.01,5.06,33.49,8.76,41.64,60,1.044,85.0,1.25,0,0,0.75,18.33,,,Pale Ale
Belgian Dark Strong Ale,21,20.82,1.109,1.027,10.72,46.81,40.0,27.44,90,,75.0,,0,0,,,,,Belgian
American Brown Ale,6,20.0,1.064,1.014,6.54,42.06,20.91,25.0,90,1.051,69.0,3.0,0,0,1.0,17.0,Sukkerlake,5 5 g sukker/liter,Brown Ale
Standard American Lager,156,41.64,1.042,1.01,4.23,10.98,3.21,49.21,90,,72.0,,0,0,,,CO2,Keg @ 10 psi,Lager
American Stout,12,20.06,1.076,1.021,7.61,64.24,39.37,26.5,60,,70.0,,0,0,,,Add in last 5 of boil,32 oz,Porter & Stout
Weizen/Weissbier,170,19.87,1.042,1.011,4.14,16.71,3.66,17.03,60,1.049,35.0,,0,1,,18.33,Corn Sugar,8.9 ounce,Wheat Beer
Russian Imperial Stout,132,14.2,1.124,1.024,13.24,69.09,40.0,23.66,90,1.075,80.1,1.5,0,0,,20.0,,,Porter & Stout
Traditional Bock,163,20.82,1.072,1.019,6.87,27.11,20.88,26.5,60,1.056,75.0,,0,0,2.0,10.0,corn sugar,,Bock
American Amber Ale,4,28.0,1.055,1.012,5.82,44.62,18.72,28.0,30,1.055,75.0,,0,3,0.75,18.0,,,Amber Ale
Wood-Aged Beer,176,18.93,1.099,1.033,8.62,20.79,37.22,22.71,60,1.082,70.0,1.25,0,0,,20.0,priming sugar,7 ozs,Specialty
American IPA,7,4.73,1.069,1.015,7.11,30.11,5.04,7.57,45,1.043,72.0,1.3,0,0,,17.78,,,IPA
American Amber Ale,4,25.0,1.065,1.015,6.61,65.02,16.19,29.0,90,1.056,74.0,,0,0,1.0,18.0,Sukkerlake,6 5 g sukker/l,Amber Ale
Fruit Beer,75,18.93,1.077,1.008,9.08,36.41,10.43,15.14,60,,76.0,,0,0,,,,,Fruit/Spiced
Russian Imperial Stout,132,22.71,1.13,1.036,12.35,114.57,40.0,34.07,180,1.086,80.0,1.25,0,0,1.0,16.67,Corn sugar,2.5oz,Porter & Stout
Imperial IPA,86,22.71,1.081,1.014,8.82,124.23,5.8,28.39,60,1.059,75.0,1.33,0,0,0.35,19.44,,,IPA
Fruit Beer,75,18.93,1.061,1.011,6.54,69.12,11.0,22.71,60,,75.0,,0,1,,,Corn Sugar,3/4 cup,Fruit/Spiced
American Pale Ale,10,30.0,1.042,1.01,4.24,47.19,9.46,28.0,60,1.045,81.0,,0,3,0.75,19.0,,,Pale Ale
Fruit Beer,75,18.93,1.05,1.012,4.89,32.53,18.01,11.36,60,,75.0,,0,2,,,Corn sugar dextrose,.5 oz,Fruit/Spiced
Robust Porter,129,83.28,1.057,1.016,5.41,24.84,39.0,83.28,60,1.055,25.0,,0,1,,20.0,None/Forced Carbonation,,Porter & Stout
